"story_id","label_score","ai_score","entailment","contradiction","entity_score","cosine_score"
"10","95","92.5","0.88","0.05","0.8","0.76"
"10","92","89","0.85","0.02","0.75","0.72"
"10","98","96","0.94","0.01","0.88","0.82"
"10","90","88.5","0.82","0.08","0.78","0.7"
"10","85","84","0.75","0.12","0.7","0.68"
"10","94","91","0.89","0.03","0.82","0.75"
"10","96","93.5","0.91","0.02","0.85","0.79"
"10","88","86","0.79","0.1","0.72","0.65"
"10","99","98","0.97","0","0.92","0.88"
"10","91","89.5","0.84","0.05","0.8","0.72"
"10","93","90","0.87","0.04","0.79","0.74"
"10","97","95","0.93","0.01","0.89","0.81"
"10","95","92","0.9","0.03","0.84","0.78"
"10","87","85","0.78","0.15","0.71","0.64"
"10","100","99","0.98","0","0.95","0.92"
"10","98","97","0.96","0.01","0.91","0.89"
"10","86","83.5","0.74","0.18","0.7","0.62"
"10","90","88","0.83","0.09","0.77","0.71"
"10","89","87","0.81","0.11","0.74","0.68"
"10","99","98.5","0.97","0.01","0.93","0.9"
"10","94","91.5","0.89","0.04","0.83","0.76"
"10","92","89","0.85","0.07","0.81","0.73"
"10","96","94","0.92","0.02","0.87","0.83"
"10","85","82","0.71","0.22","0.68","0.6"
"10","93","90.5","0.86","0.05","0.8","0.75"
"10","65","68.5","0.45","0.3","0.6","0.72"
"10","45","52","0.3","0.55","0.4","0.65"
"10","50","55.5","0.35","0.45","0.55","0.68"
"10","40","48","0.2","0.7","0.3","0.58"
"10","60","62","0.4","0.4","0.7","0.74"
"10","70","72.5","0.55","0.2","0.5","0.7"
"10","35","40","0.15","0.8","0.35","0.62"
"10","55","58","0.38","0.42","0.45","0.6"
"10","65","67","0.48","0.25","0.58","0.73"
"10","50","54","0.32","0.48","0.65","0.69"
"10","30","35.5","0.1","0.85","0.4","0.55"
"10","45","49","0.28","0.6","0.45","0.61"
"10","58","61.5","0.42","0.35","0.52","0.67"
"10","62","64","0.44","0.3","0.5","0.71"
"10","70","73","0.58","0.15","0.78","0.8"
"10","48","51","0.33","0.52","0.4","0.66"
"10","40","44.5","0.22","0.72","0.6","0.64"
"10","35","38","0.18","0.75","0.38","0.59"
"10","55","57.5","0.36","0.45","0.82","0.76"
"10","50","53","0.31","0.5","0.48","0.63"
"10","42","46","0.25","0.68","0.5","0.65"
"10","25","29","0.05","0.9","0.4","0.52"
"10","48","50.5","0.34","0.54","0.42","0.68"
"10","52","55","0.37","0.48","0.6","0.7"
"10","45","49.5","0.29","0.62","0.65","0.66"
"10","0","5","0.01","0.98","0.05","0.1"
"10","2","8.5","0.02","0.95","0.08","0.15"
"10","5","12","0.05","0.9","0.1","0.22"
"10","1","4","0.01","0.99","0.02","0.08"
"10","3","7","0.03","0.94","0.12","0.18"
"10","0","2.5","0","1","0.05","0.05"
"10","2","6","0.02","0.97","0.1","0.12"
"10","8","15","0.08","0.85","0.15","0.25"
"10","1","3.5","0.01","0.98","0.03","0.09"
"10","4","9","0.04","0.92","0.08","0.14"
"10","2","5.5","0.02","0.96","0.11","0.13"
"10","3","8","0.03","0.93","0.14","0.17"
"10","5","11.5","0.06","0.88","0.12","0.2"
"10","4","10","0.05","0.91","0.18","0.24"
"10","12","22","0.12","0.75","0.2","0.35"
"10","1","3","0","0.99","0.04","0.07"
"10","15","25","0.15","0.7","0.25","0.4"
"10","0","1.5","0","1","0.02","0.04"
"10","6","13.5","0.07","0.86","0.12","0.19"
"10","10","18","0.1","0.8","0.3","0.32"
"10","2","5","0.02","0.96","0.08","0.11"
"10","4","9.5","0.04","0.91","0.09","0.16"
"10","1","3","0.01","0.99","0.05","0.06"
"10","18","28","0.18","0.65","0.22","0.45"
"10","0","1","0","1","0.01","0.02"
